question,options,topic,Difficulty level,sub Topic
What is the output of the following code: print(3 != 3 or 4 == 5)?,"{""answers"":[""b""],""choices"":{""a"":""True"",""b"":""False"",""c"":""None"",""d"":""Error""}}",SQL,Easy,function
"What is the output of the following code: x = (1, 2, 3); print(x[0])?","{""answers"":[""a""],""choices"":{""a"":""1"",""b"":""2"",""c"":""3"",""d"":""(1, 2, 3)""}}",SQL,Hard,function
What is the value of the following expression: 5 ** 2?,"{""answers"":[""b""],""choices"":{""a"":""10"",""b"":""25"",""c"":""7"",""d"":""30""}}",SQL,Easy,function
"What is the output of the following code: my_list = [1, 2, 3] my_list[0] = 4 print(my_list)","{""answers"":[""b""],""choices"":{""a"":""[1, 2, 3]"",""b"":""[4, 2, 3]"",""c"":""[1, 4, 3]"",""d"":""[4, 2, 3, 4]""}}",SQL,Easy,function
"What is the output of the following code: x = ""hello""; print(x.upper())?","{""answers"":[""b""],""choices"":{""a"":""Hello"",""b"":""HELLO"",""c"":""hello"",""d"":""hElLo""}}",SQL,Hard,function
"What is the output of the following code: print(""hello"".find(""l""))?","{""answers"":[""b""],""choices"":{""a"":""0"",""b"":""2"",""c"":""3"",""d"":""-1""}}",SQL,Easy,function
"What is the output of the following code: print(""python"".capitalize())?","{""answers"":[""a""],""choices"":{""a"":""Python"",""b"":""python"",""c"":""P"",""d"":""p""}}",SQL,Easy,function
Which of the following is true about the del statement in Python?,"{""answers"":[""b""],""choices"":{""a"":""It is used to delete a file"",""b"":""It is used to delete a variable"",""c"":""It is used to delete a function"",""d"":""It is used to delete a module""}}",SQL,Easy,function
Which of the following data types in Python is immutable?,"{""answers"":[""b""],""choices"":{""a"":""List"",""b"":""Tuple"",""c"":""Set"",""d"":""Dictionary""}}",SQL,Hard,function
Which of the following is a higher-order function in Python?,"{""answers"":[""d""],""choices"":{""a"":""map()"",""b"":""filter()"",""c"":""reduce()"",""d"":""All of the above""}}",SQL,Easy,function
"What is the output of the following code: x = {1, 2, 3}; y = {2, 3, 4}; z = x.union(y); print(z)?","{""answers"":[""c""],""choices"":{""a"":""{1, 2, 3}"",""b"":""{2, 3, 4}"",""c"":""{1, 2, 3, 4}"",""d"":""{1, 3, 4}""}}",SQL,Easy,function
What is the output of the following code: print(3 == 3 and 4 == 5)?,"{""answers"":[""b""],""choices"":{""a"":""True"",""b"":""False"",""c"":""None"",""d"":""Error""}}",SQL,Easy,function
Which of the following is not a method of a tuple in Python?,"{""answers"":[""c""],""choices"":{""a"":""index()"",""b"":""count()"",""c"":""append()"",""d"":""None of the above""}}",SQL,Hard,function
Which of the following is an example of a numeric data type in Python?,"{""answers"":[""d""],""choices"":{""a"":""String"",""b"":""List"",""c"":""Tuple"",""d"":""Integer""}}",SQL,Easy,function
"What is the output of the following code: x = {1, 2, 3}; y = {2, 3, 4}; z = x.difference(y); print(z)?","{""answers"":[""c""],""choices"":{""a"":""{1, 2, 3}"",""b"":""{2, 3, 4}"",""c"":""{1}"",""d"":""{4}""}}",SQL,Easy,function
What is the output of the following code: print(5 > 3 or 5 < 2)?,"{""answers"":[""a""],""choices"":{""a"":""True"",""b"":""False"",""c"":""None"",""d"":""Error""}}",Python,Easy,function
Which of the following is not a feature of Python?,"{""answers"":[""c""],""choices"":{""a"":""Easy to learn"",""b"":""Interpreted"",""c"":""Platform-specific"",""d"":""Dynamically typed""}}",Python,Hard,function
What is the output of the following code: print(type(4/2))?,"{""answers"":[""b""],""choices"":{""a"":""int"",""b"":""float"",""c"":""double"",""d"":""string""}}",Python,Easy,function
Which of the following is an example of a bitwise operator in Python?,"{""answers"":[""d""],""choices"":{""a"":""and"",""b"":""xor"",""c"":""not"",""d"":""All of the above""}}",Python,Easy,function
Which of the following is not a valid scope in Python?,"{""answers"":[""d""],""choices"":{""a"":""Local"",""b"":""Global"",""c"":""Enclosing"",""d"":""Private""}}",Python,Hard,function
What is the output of the following code: def foo(): global x; x = 1; print(x); foo(); print(x)?,"{""answers"":[""a""],""choices"":{""a"":""1 1"",""b"":""1 None"",""c"":""None 1"",""d"":""None None""}}",Python,Easy,function
